method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,mnist,1,0.3,0.8,1000,4000,797,0,797,0.8405696212430485,0.3044,0.3044,,,,,45.11400819476694,1,794,0.34127979924717694,0.0,0.5713958740234375,0.5713958740234375,0.9949177503585815,0.008727044297672397,0.9987437185929648,0.9987437185929648,0.9987437185929648,0.0,0.0,0.17010814343715897,1.4149459282814205
PU-R,mnist,1,0.3,0.8,1000,4000,714,0,714,0.7632011701352894,0.2994,0.2994,,,,,67.3848210433498,1,711,0.36834733893557425,0.0,0.5791504979133606,0.5791504979133606,0.9908187389373779,0.010122125168940965,0.9985974754558204,0.9985974754558204,0.9985974754558204,0.0,0.0,0.17064619596903635,1.414676902015482
GREATS,mnist,1,0.3,0.8,1000,4000,605,0,605,,0.29159999999999997,0.2916,,,,,25.53271850384772,1,602,0.3834710743801653,0.0,0.5683220028877258,0.5683220028877258,0.9930136799812317,0.00976575406064705,0.9983443708609272,0.9983443708609272,0.9983443708609272,0.0,0.0,0.15942353848311,1.420288230758445
MaxLoss,mnist,2,0.3,0.0,5000,0,800,1680,2480,0.5219409927376546,0.4115,0.4115,,,,,47.387989490292966,0,797,0.44125,0.0,0.5643719434738159,0.5643719434738159,0.9892679452896118,0.008130173837633172,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16548290814758376,1.4172585459262081
Marginal,mnist,2,0.3,0.0,5000,0,800,1563,2363,0.4984588603838347,0.1976,0.1976,,,,,49.10364162828773,0,797,0.27875,0.0,0.5686169862747192,0.5686169862747192,0.9988057613372803,0.006022787148200526,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15996184433833832,1.4200190778308308
PU-R,mnist,2,0.3,0.0,5000,0,800,1588,2388,0.5034812346566468,0.24970000000000003,0.2497,,,,,103.4001172510907,0,797,0.325,0.0,0.5579960346221924,0.5579960346221924,0.9944318532943726,0.007434684787882732,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16282525655654204,1.418587371721729
GREATS,mnist,2,0.3,0.0,5000,0,800,1619,2419,,0.401,0.401,,,,,60.91625564545393,0,797,0.45125,0.0,0.5796810388565063,0.5796810388565063,0.9940285682678223,0.00811874691177817,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16433487215230572,1.4178325639238472
MaxLoss,mnist,2,0.3,0.1,4500,500,800,1436,2236,0.5241315307794139,0.4374,0.4374,,,,,47.160493260249496,0,797,0.44875,0.0,0.5688781142234802,0.5688781142234802,0.9912656545639038,0.007696905566171949,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16234093152502738,1.4188295342374864
Marginal,mnist,2,0.3,0.1,4500,500,800,1418,2218,0.5201217543217354,0.23119999999999996,0.2312,,,,,49.87421030923724,0,797,0.2975,0.0,0.5610438585281372,0.5610438585281372,0.9983236193656921,0.005930562891055584,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15654018191007088,1.4217299090449647
PU-R,mnist,2,0.3,0.1,4500,500,800,1430,2230,0.5227951344568282,0.2966,0.2966,,,,,102.08018437586725,0,797,0.345,0.0,0.5605579018592834,0.5605579018592834,0.9945688843727112,0.007486714003403649,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.16266091811865446,1.4186695409406727
GREATS,mnist,2,0.3,0.1,4500,500,800,1470,2270,,0.45089999999999997,0.4509,,,,,60.51827391516417,0,797,0.44625,0.0,0.5767011642456055,0.5767011642456055,0.9868860244750977,0.008237785882361988,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16420232611732916,1.4178988369413354
MaxLoss,mnist,2,0.3,0.2,4000,1000,800,1223,2023,0.5345372717129067,0.43500000000000005,0.435,,,,,46.41898682620376,0,797,0.445,0.0,0.5730031728744507,0.5730031728744507,0.9900866150856018,0.007875135902767635,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16451403232378864,1.4177429838381057
Marginal,mnist,2,0.3,0.2,4000,1000,800,1244,2044,0.5397920728428289,0.24229999999999996,0.2423,,,,,48.420310008339584,0,797,0.2775,0.0,0.565511167049408,0.565511167049408,0.9978358745574951,0.00628417540198537,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16078714719679058,1.4196064264016046
PU-R,mnist,2,0.3,0.2,4000,1000,800,1200,2000,0.528778326290194,0.29500000000000004,0.295,,,,,99.14826858788729,0,797,0.35125,0.0,0.5605617761611938,0.5605617761611938,0.9954464435577393,0.007341941060948282,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1621183997079575,1.4189408001460213
GREATS,mnist,2,0.3,0.2,4000,1000,800,1200,2000,,0.4042,0.4042,,,,,57.533885434269905,0,797,0.44,0.0,0.5808484554290771,0.5808484554290771,0.9879475831985474,0.008170995651482044,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16307450788203431,1.418462746058983
MaxLoss,mnist,2,0.3,0.3,3500,1500,800,921,1721,0.5223093082895502,0.40290000000000004,0.4029,,,,,46.05453105550259,0,797,0.4425,0.0,0.5686982870101929,0.5686982870101929,0.9900184273719788,0.007583148245966629,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16178912306826865,1.4191054384658657
Marginal,mnist,2,0.3,0.3,3500,1500,800,1004,1804,0.5460578235797584,0.263,0.263,,,,,47.68400505930185,0,797,0.3075,0.0,0.5739148855209351,0.5739148855209351,0.998578667640686,0.006514742786300197,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15983526162645814,1.420082369186771
PU-R,mnist,2,0.3,0.3,3500,1500,800,928,1728,0.5243148873560131,0.23119999999999996,0.2312,,,,,95.70877602230757,0,797,0.315,0.0,0.5543111562728882,0.5543111562728882,0.9965815544128418,0.007560252649091809,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16338927757647445,1.4183053612117629
GREATS,mnist,2,0.3,0.3,3500,1500,800,948,1748,,0.4105,0.4105,,,,,54.92635606508702,0,797,0.44,0.0,0.5853930711746216,0.5853930711746216,0.9904283285140991,0.007869769582461952,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16190705961145754,1.4190464701942713
MaxLoss,mnist,2,0.3,0.4,3000,2000,800,737,1537,0.5452255861600861,0.4213,0.4213,,,,,45.19861951190978,0,797,0.42125,0.0,0.5672341585159302,0.5672341585159302,0.9907324910163879,0.007248311544837283,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.15818895956100393,1.420905520219498
