method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,mnist,1,0.0,0.2,100,100,4000,1000,104,752,856,0.23708580894162878,0.1905,0.1905,,,,,1.2074998244643211,0,1,101,0.0,0.0,0.5976848602294922,0.5976848602294922,0.9939269423484802,0.03297681427838787,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20806604913059593,1.395966975434702
PU-R,mnist,1,0.0,0.2,100,100,4000,1000,104,651,755,0.21072092512622476,0.1583,0.1583,,,,,1.73717275634408,0,1,101,0.0,0.0,0.5881984829902649,0.5881984829902649,0.977912425994873,0.05401760288197728,0.9902912621359223,0.941747572815534,0.941747572815534,0.0,0.0,0.2498804500527074,1.3750597749736464
GREATS,mnist,1,0.0,0.2,100,100,4000,1000,104,649,753,,0.1835,0.1835,,,,,1.7005938393995166,0,1,101,0.0,0.0,0.6320728063583374,0.6320728063583374,0.9740700125694275,0.051727373333810604,0.9902912621359223,0.970873786407767,0.970873786407767,0.0,0.0,0.2371006162758205,1.3814496918620898
MaxLoss,mnist,1,0.0,0.3,100,100,3500,1500,104,680,784,0.24902268999721855,0.19799999999999995,0.198,,,,,1.0155067211017013,0,1,101,0.0,0.0,0.5850445032119751,0.5850445032119751,0.9803861379623413,0.05776077460099771,0.9514563106796117,0.9611650485436893,0.9223300970873787,0.0,0.0,0.25085812009332104,1.3745709399533395
Marginal,mnist,1,0.0,0.3,100,100,3500,1500,104,639,743,0.23680273798527196,0.18010000000000004,0.1801,,,,,1.1590822031721473,0,1,101,0.0,0.0,0.5935793519020081,0.5935793519020081,0.9951902627944946,0.03461789334355628,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.21357358608149157,1.3932132069592542
PU-R,mnist,1,0.0,0.3,100,100,3500,1500,104,576,680,0.21796738321427256,0.17600000000000005,0.176,,,,,1.6416460573673248,0,1,101,0.0,0.0,0.6001471281051636,0.6001471281051636,0.9747085571289062,0.051165450915911244,0.9805825242718447,0.970873786407767,0.9611650485436893,0.0,0.0,0.24101938165914133,1.3794903091704294
GREATS,mnist,1,0.0,0.3,100,100,3500,1500,104,603,707,,0.1775,0.1775,,,,,1.6063737515360117,0,1,101,0.0,0.0,0.6253068447113037,0.6253068447113037,0.977519154548645,0.05184147518706843,0.9805825242718447,0.9805825242718447,0.9805825242718447,0.0,0.0,0.2369053132740082,1.381547343362996
MaxLoss,mnist,1,0.0,0.4,100,100,3000,2000,104,630,734,0.2724668210139498,0.22840000000000005,0.2284,,,,,0.9752125227823853,0,1,101,0.0,0.0,0.588566780090332,0.588566780090332,0.9790802001953125,0.0561140037223118,0.9611650485436893,0.9805825242718447,0.9514563106796117,0.0,0.0,0.25033034767601736,1.3748348261619914
Marginal,mnist,1,0.0,0.4,100,100,3000,2000,104,616,720,0.2676086447900161,0.20809999999999995,0.2081,,,,,1.1038303561508656,0,1,101,0.0,0.0,0.5954798460006714,0.5954798460006714,0.9971307516098022,0.03171586512940601,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.0,0.0,0.20814003531836356,1.3959299823408182
PU-R,mnist,1,0.0,0.4,100,100,3000,2000,104,410,514,0.1955537197063677,0.1481,0.1481,,,,,1.5213184207677841,0,1,101,0.0,0.0,0.5938114523887634,0.5938114523887634,0.9811534881591797,0.0474037930948063,0.9902912621359223,0.9611650485436893,0.9611650485436893,0.0,0.0,0.2358568783002895,1.3820715608498553
