method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.4,0.0,100,100,3000,0,104,475,579,0.21841504727490246,0.138,0.46026333404006436,0,0,101,0.2692307692307692,0.40384615384615385,0.7878015041351318
PU-C,0,0.4,0.0,200,200,3000,0,204,228,432,0.16651347110746428,0.06879999999999997,0.9831856249948032,0,1,201,0.29411764705882354,0.3872549019607843,0.5845974087715149
PU-F,0,0.4,0.0,50,50,3000,0,54,443,497,0.189552646887023,0.11699999999999999,0.47515091695822775,0,0,51,0.3888888888888889,0.42592592592592593,0.7480701804161072
PU-F,0,0.4,0.0,100,100,3000,0,104,363,467,0.17893839586758986,0.10160000000000002,1.1533268749481067,0,0,101,0.25,0.38461538461538464,0.6918609142303467
PU-F,0,0.4,0.0,200,200,3000,0,204,136,340,0.1336057098233141,0.021700000000000053,2.2634018340031616,0,1,201,0.25980392156862747,0.37745098039215685,0.5437219738960266
PU-G,0,0.4,0.0,50,50,3000,0,54,459,513,0.19520097953500226,0.12239999999999995,0.48812324996106327,0,0,51,0.4074074074074074,0.4074074074074074,0.813017725944519
PU-G,0,0.4,0.0,100,100,3000,0,104,438,542,0.20541747816605493,0.12419999999999998,1.1429715830017813,0,0,101,0.33653846153846156,0.4326923076923077,0.7953910827636719
PU-G,0,0.4,0.0,200,200,3000,0,204,301,505,0.19237787678139284,0.07750000000000001,2.375572666991502,0,1,201,0.2647058823529412,0.39705882352941174,0.6792050004005432
MaxLoss,1,0.0,0.0,50,50,3000,0,54,52,106,0.04712998168542981,0.02849999999999997,0.13937254203483462,0,0,51,0.0,0.037037037037037035,0.8406147360801697
MaxLoss,1,0.0,0.0,100,100,3000,0,104,16,120,0.05250743729993701,0.02200000000000002,0.2548935000086203,0,0,101,0.0,0.18269230769230768,0.8140133619308472
MaxLoss,1,0.0,0.0,200,114,3000,0,118,0,118,0.05174200655892491,0.018900000000000028,0.27608591702301055,1,0,115,0.0,0.17796610169491525,0.81413334608078
PU-C,1,0.0,0.0,50,50,3000,0,54,138,192,0.07960064115468413,0.041100000000000025,0.089876624988392,0,0,51,0.0,0.09259259259259259,0.7441156506538391
PU-C,1,0.0,0.0,100,100,3000,0,104,51,155,0.06577725638635457,0.026100000000000012,0.17460879200370982,0,0,101,0.0,0.15384615384615385,0.740752100944519
PU-C,1,0.0,0.0,200,103,3000,0,107,0,107,0.04751565994229168,0.018100000000000005,0.18317574996035546,1,0,104,0.0,0.14953271028037382,0.8137211203575134
PU-F,1,0.0,0.0,50,50,3000,0,54,159,213,0.08737389626912773,0.04949999999999999,0.20227991603314877,0,0,51,0.0,0.037037037037037035,0.6069996953010559
PU-F,1,0.0,0.0,100,100,3000,0,104,71,175,0.07327152288053185,0.024399999999999977,0.3218339580344036,0,0,101,0.0,0.11538461538461539,0.708480954170227
PU-F,1,0.0,0.0,200,128,3000,0,132,0,132,0.057082461076788604,0.009000000000000008,0.3814970410312526,1,0,129,0.0,0.11363636363636363,0.7961007356643677
PU-G,1,0.0,0.0,50,50,3000,0,54,192,246,0.09950272261630744,0.05120000000000002,0.21763791696866974,0,0,51,0.0,0.12962962962962962,0.7158246636390686
PU-G,1,0.0,0.0,100,100,3000,0,104,74,178,0.07439100183546543,0.021399999999999975,0.35459866700693965,0,0,101,0.0,0.20192307692307693,0.7293250560760498
PU-G,1,0.0,0.0,200,167,3000,0,171,0,171,0.07177707378286868,0.0031999999999999806,0.5041463340166956,1,0,168,0.0,0.21052631578947367,0.6130948662757874
MaxLoss,1,0.1,0.0,50,50,3000,0,54,562,616,0.23137355543440208,0.12370000000000003,0.1615711670019664,0,0,51,0.3888888888888889,0.4444444444444444,0.843926727771759
MaxLoss,1,0.1,0.0,100,100,3000,0,104,366,470,0.1800012559397146,0.07840000000000003,0.2675947080133483,0,0,101,0.3173076923076923,0.41346153846153844,0.8630387783050537
MaxLoss,1,0.1,0.0,200,200,3000,0,204,2,206,0.08478796045528725,0.020499999999999963,0.4243587499950081,0,1,201,0.19607843137254902,0.38235294117647056,0.4435145854949951
PU-C,1,0.1,0.0,50,50,3000,0,54,281,335,0.13180543505586684,0.0887,0.23482466698624194,0,0,51,0.25925925925925924,0.3148148148148148,0.844251275062561
PU-C,1,0.1,0.0,100,100,3000,0,104,201,305,0.120974114688579,0.06840000000000002,0.47651920799398795,0,0,101,0.27884615384615385,0.33653846153846156,0.808272659778595
PU-C,1,0.1,0.0,200,200,3000,0,204,32,236,0.09583749843295664,0.011700000000000044,0.9783267080201767,0,1,201,0.19607843137254902,0.37745098039215685,0.6015725135803223
PU-F,1,0.1,0.0,50,50,3000,0,54,524,578,0.21806428756099194,0.11529999999999996,0.466083790990524,0,0,51,0.3148148148148148,0.35185185185185186,0.7748716473579407
PU-F,1,0.1,0.0,100,100,3000,0,104,438,542,0.20541747816605493,0.10050000000000003,1.0723841250292026,0,0,101,0.2692307692307692,0.3173076923076923,0.751761794090271
PU-F,1,0.1,0.0,200,200,3000,0,204,21,225,0.09179576905444264,0.00660000000000005,1.92674550000811,0,1,201,0.14705882352941177,0.29411764705882354,0.5456810593605042
