method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,765,869,0.47370500362012535,0.47624999999999995,0.47625,,,,,1.7501600430114195,0,0,101,0.27884615384615385,0.7596153846153846,0.6777719259262085,0.6777719259262085,1.0000001192092896,0.05800944971806795,0.8737864077669902,0.9029126213592233,0.8446601941747572,0.40384615384615385,0.5961538461538461,0.0673076923076923,0.9500416606255506,0.009615384615384616,0.2676139513956112,0.6830965121510972
PU-R-Manifold,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,540,744,0.41011802869616076,0.386,0.386,,,,,5.31243049306795,0,1,201,0.23529411764705882,0.7450980392156863,0.6262587308883667,0.6262587308883667,1.000000238418579,0.03279500558348419,0.9408866995073891,0.9605911330049262,0.9359605911330049,0.4852941176470588,0.5147058823529411,0.03431372549019608,0.9508917848491315,0.004901960784313725,0.2148040021048329,0.6962989994737918
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,50,50,2000,3000,54,846,900,,0.4425,0.4425,,,,,0.6734585649101064,0,0,51,0.2222222222222222,0.6851851851851852,0.7395929098129272,0.7395929098129272,1.0000001192092896,0.07947153246627664,0.8113207547169812,0.7924528301886793,0.6981132075471698,0.3148148148148148,0.6851851851851852,0.07407407407407407,0.974044891310005,0.018518518518518517,0.28950164609915957,0.6776245884752101
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,100,100,2000,3000,104,679,783,,0.42074999999999996,0.42075,,,,,1.4261119349393994,0,0,101,0.2692307692307692,0.7692307692307693,0.7027361989021301,0.7027361989021301,1.000000238418579,0.06004131894594836,0.8349514563106796,0.8737864077669902,0.7961165048543689,0.4230769230769231,0.5769230769230769,0.04807692307692308,0.9577182452943164,0.009615384615384616,0.2694752735846204,0.6826311816038448
GREATS,manifold_orbit_fashion_mnist,0,0.1,0.6,warm_start,200,200,2000,3000,204,530,734,,0.382,0.382,,,,,3.541347050922923,0,1,201,0.23039215686274508,0.7598039215686274,0.6540367007255554,0.6540367007255554,1.000000238418579,0.037103597337971875,0.8916256157635468,0.9359605911330049,0.8866995073891626,0.4950980392156863,0.5049019607843137,0.03431372549019608,0.9484426954054256,0.004901960784313725,0.23061822599104811,0.692345443502238
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2436,2490,0.5239453489775769,0.47550000000000003,0.4755,,,,,0.5128844149876386,0,0,51,0.3333333333333333,0.6296296296296297,0.7378141283988953,0.7378141283988953,1.0000003576278687,0.10657410745350819,0.5660377358490566,0.5849056603773585,0.4716981132075472,0.35185185185185186,0.6481481481481481,0.07407407407407407,0.9576609196148266,0.018518518518518517,0.3390678279320014,0.6652330430169997
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2232,2336,0.4930317478138022,0.44475,0.44475,,,,,1.1460339749464765,0,0,101,0.3269230769230769,0.6346153846153846,0.7140430212020874,0.7140430212020874,1.000000238418579,0.06854929623094577,0.7281553398058253,0.8252427184466019,0.6893203883495146,0.375,0.625,0.0673076923076923,0.953688178987722,0.009615384615384616,0.3041057947631067,0.6739735513092233
MaxLoss,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,200,200,5000,0,204,2173,2377,0.5012717132340185,0.4325,0.4325,,,,,2.976023021969013,0,1,201,0.35294117647058826,0.6127450980392157,0.7105110287666321,0.7105110287666321,1.000000238418579,0.04691614115179466,0.8374384236453202,0.8916256157635468,0.8177339901477833,0.4362745098039216,0.5637254901960784,0.03431372549019608,0.9420371515229683,0.004901960784313725,0.26815974321858743,0.6829600641953532
PU-R,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,50,50,5000,0,54,2394,2448,0.515524233749602,0.49250000000000005,0.4925,,,,,0.9922674569534138,0,0,51,0.3148148148148148,0.6481481481481481,0.7272198796272278,0.7272198796272278,1.000000238418579,0.11617355245464253,0.4339622641509434,0.4716981132075472,0.41509433962264153,0.35185185185185186,0.6481481481481481,0.1111111111111111,0.9432195105856575,0.018518518518518517,0.35009116287079145,0.6624772092823021
PU-R,manifold_orbit_fashion_mnist,1,0.1,0.0,warm_start,100,100,5000,0,104,2378,2482,0.5223418975365348,0.48,0.48,,,,,2.341610232950188,0,0,101,0.3269230769230769,0.6634615384615384,0.7235733866691589,0.7235733866691589,1.000000238418579,0.07211511054085297,0.6990291262135923,0.7961165048543689,0.6796116504854369,0.38461538461538464,0.6153846153846154,0.057692307692307696,0.9516859170304209,0.009615384615384616,0.2917421924255698,0.6770644518936075
