method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,1,0.0,0.2,800,200,158,0,158,0.24584490852430463,0.08730000000000004,0.4020373584063691,0.00021249999999999546,0.05292758991049745,255.16542884514402,1.2036227451171726,1,155,0.0,0.0,0.5781713724136353
Marginal,mnist,1,0.0,0.2,800,200,295,0,295,0.4271472829859704,0.08960000000000001,0.43992197728362503,0.0024999999999999467,0.061669381595376105,283.03984463456965,2.3851606498938054,1,292,0.0,0.0,0.5683407783508301
PU-C,mnist,1,0.0,0.2,800,200,201,0,201,0.3038299811887555,0.08860000000000001,0.4032711235293253,0.00177499999999999,0.059263382757152205,244.2754410027923,1.8870250380132347,1,198,0.0,0.0,0.5804737210273743
PU-F,mnist,1,0.0,0.2,800,200,172,0,172,0.26485378603683785,0.08099999999999996,0.4246863847742405,0.0008999999999999908,0.05602222259309981,275.78579176780397,2.0493708869908005,1,169,0.0,0.0,0.5908501744270325
MaxLoss,mnist,1,0.0,0.4,600,400,118,0,118,0.2521851190831512,0.09730000000000005,0.4300430313980556,0.002183333333333346,0.06064179243327378,203.08353853829863,0.9041743408888578,1,115,0.0,0.0,0.5828045606613159
Marginal,mnist,1,0.0,0.4,600,400,246,0,246,0.4780245915753767,0.08730000000000004,0.48618162807192083,0.0033333333333332993,0.06423822146239651,251.33421634724482,1.9203526941128075,1,243,0.0,0.0,0.5700074434280396
PU-C,mnist,1,0.0,0.4,600,400,167,0,167,0.34061316575389355,0.08279999999999998,0.4314943014075926,0.00018333333333333756,0.05277113253342398,216.3764221497021,1.4978270041756332,1,164,0.0,0.0,0.5889096260070801
PU-F,mnist,1,0.0,0.4,600,400,146,0,146,0.30306952603859827,0.08709999999999996,0.4460135745948747,5.000000000000004e-05,0.05198331277668628,231.2982863893578,1.6077428120188415,1,143,0.0,0.0,0.5877133011817932
MaxLoss,mnist,1,0.0,0.6,400,600,96,0,96,0.31234382587717846,0.12290000000000001,0.4928683638830834,0.0007749999999999869,0.05551223365423147,179.41149504188763,0.689816617872566,1,93,0.0,0.0,0.5825269222259521
Marginal,mnist,1,0.0,0.6,400,600,174,0,174,0.5176271152449772,0.12939999999999996,0.5184101748699868,0.0025249999999999474,0.06174915515969154,190.70259354628845,1.2982965339906514,1,171,0.0,0.0,0.5804423689842224
PU-C,mnist,1,0.0,0.6,400,600,106,0,106,0.33955328253796324,0.11450000000000005,0.47943295320301876,0.0006499999999999939,0.05498484923731912,170.72812776466498,0.9094486860558391,1,103,0.0,0.0,0.5791038274765015
PU-F,mnist,1,0.0,0.6,400,600,104,0,104,0.33413581643253565,0.11770000000000003,0.5026898313021748,0.0018749999999999889,0.0596071695006834,181.76461808466797,1.0204725849907845,1,101,0.0,0.0,0.5853131413459778
MaxLoss,mnist,1,0.0,0.8,200,800,67,0,67,0.44498383486643434,0.1642,0.6183925464162651,0.0007000000000000006,0.055198094211017575,137.9396482490888,0.49269170803017914,1,64,0.0,0.0,0.588998019695282
Marginal,mnist,1,0.0,0.8,200,800,99,0,99,0.6085444024647586,0.17169999999999996,0.6574845620319087,0.010900000000000012,0.08326175411075071,139.40106071144672,0.7524337219074368,1,96,0.0,0.0,0.5891914367675781
PU-C,mnist,1,0.0,0.8,200,800,70,0,70,0.4608539938926697,0.1613,0.628481332118991,0.003250000000000003,0.06398893595603335,137.04763254898373,0.5994459029752761,1,67,0.0,0.0,0.5886716842651367
PU-F,mnist,1,0.0,0.8,200,800,78,0,78,0.5026096434448846,0.16559999999999997,0.66091806743528,0.0025000000000000022,0.06166938159537633,155.06922874865793,0.7124355649575591,1,75,0.0,0.0,0.5928910374641418
MaxLoss,mnist,1,0.4,0.0,1000,0,300,282,582,0.6358288149931468,0.44430000000000003,0.8560696311646614,0.27585000000000004,0.43331691745877865,474.0852197403213,2.2403441411443055,0,297,0.44666666666666666,0.0,0.591371476650238
Marginal,mnist,1,0.4,0.0,1000,0,300,284,584,0.6377915695193224,0.32230000000000003,0.8149374276572312,0.28437999999999997,0.4425545654605811,336.9786618374818,2.6160499511752278,0,297,0.39,0.0,0.5905317068099976
PU-C,mnist,1,0.4,0.0,1000,0,300,295,595,0.6485698475153185,0.31599999999999995,0.8323406842935896,0.29441,0.4533386603467465,363.1474632115978,3.336485316976905,0,297,0.39,0.0,0.5791593790054321
PU-F,mnist,1,0.4,0.0,1000,0,300,271,571,0.6250169528648257,0.4312,0.8288743978022051,0.27159,0.42868012378245346,398.60256713609,5.640191704966128,0,297,0.44666666666666666,0.0,0.5928542017936707
MaxLoss,mnist,1,0.4,0.2,800,200,300,150,450,0.6224221762386151,0.4675,0.8208117591733883,0.1948625,0.34217313510332054,437.50290167968495,2.1961393000092357,0,297,0.44,0.0,0.5879591703414917
