method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,mnist,1,0.0,0.4,600,400,229,0,229,0.44891550700413063,0.09999999999999998,0.49246086634453595,0.001700000000000037,0.05900263032977898,266.2039109457438,2.1203129729256034,1,226,0.0,0.0,0.5940554141998291
GREATS,mnist,1,0.0,0.4,600,400,155,0,155,,0.09019999999999995,0.48712629952177566,0.0013166666666666682,0.05762559364234116,262.94203315980803,1.2971787145361304,1,152,0.0,0.0,0.5961602926254272
MaxLoss,mnist,1,0.0,0.6,400,600,100,0,100,0.32326469535473734,0.12050000000000005,0.5097998869641643,0.0021749999999999825,0.06061429681503622,185.72302245843622,0.6081392867490649,1,97,0.0,0.0,0.5859920382499695
PU-C,mnist,1,0.0,0.6,400,600,117,0,117,0.36914365441771224,0.11119999999999997,0.5114298004879967,0.0012749999999999862,0.057470866288968414,190.4359456007395,0.8523384714499116,1,114,0.0,0.0,0.5714119076728821
PU-F,mnist,1,0.0,0.6,400,600,105,0,105,0.33684603532310575,0.11699999999999999,0.494715358664194,0.000549999999999996,0.05454801818440308,181.7953590773385,0.8822369026020169,1,102,0.0,0.0,0.6030032634735107
PU-G,mnist,1,0.0,0.6,400,600,173,0,173,0.5150856780819595,0.1371,0.5157843338389199,0.0024999999999999467,0.061669381595376105,188.87613538450188,1.4635514812543988,1,170,0.0,0.0,0.5833701491355896
GREATS,mnist,1,0.0,0.6,400,600,108,0,108,,0.12239999999999995,0.5190148674159494,0.0009999999999999788,0.05641946612993215,197.20907058744422,0.8584571899846196,1,105,0.0,0.0,0.6045834422111511
MaxLoss,mnist,1,0.0,0.8,200,800,65,0,65,0.43433705548522994,0.15769999999999995,0.6285078900899375,0.003450000000000003,0.06458470783529997,136.67873009802744,0.40783899277448654,1,62,0.0,0.0,0.5916891098022461
PU-C,mnist,1,0.0,0.8,200,800,66,0,66,0.43966720171738416,0.16800000000000004,0.6139879919331167,0.0014000000000000013,0.05793184430320325,134.05761648191293,0.4858554322272539,1,63,0.0,0.0,0.57388836145401
PU-F,mnist,1,0.0,0.8,200,800,68,0,68,0.4502870920696296,0.17200000000000004,0.6353106503722888,0.0020000000000000018,0.06003103300329754,142.97231991998336,0.5478426534682512,1,65,0.0,0.0,0.5809224247932434
PU-G,mnist,1,0.0,0.8,200,800,108,0,108,0.6523678866797127,0.18189999999999995,0.6291279271342737,0.0050000000000000044,0.06895530556343926,134.21099580003624,0.8452472053468227,1,105,0.0,0.0,0.5794256925582886
GREATS,mnist,1,0.0,0.8,200,800,72,0,72,,0.17469999999999997,0.6466565151858926,0.004050000000000003,0.0663242300022246,144.5462059070222,0.5714579410851002,1,69,0.0,0.0,0.598288357257843
MaxLoss,mnist,1,0.4,0.0,1000,0,300,275,575,0.6289518003468402,0.43500000000000005,0.8546805252952001,0.27821,0.4358789074034101,464.13252862443136,1.8729156944900751,0,297,0.4666666666666667,0.0,0.5867485404014587
PU-C,mnist,1,0.4,0.0,1000,0,300,284,584,0.6377915695193224,0.26980000000000004,0.8261084432796775,0.28289000000000003,0.4409454026001291,368.54534063954924,2.6678954269737005,0,297,0.35333333333333333,0.0,0.5670060515403748
PU-F,mnist,1,0.4,0.0,1000,0,300,265,565,0.6191077351104468,0.4141,0.8250491241287515,0.26644,0.42305339388118746,398.3627316314924,4.6005487106740475,0,297,0.42,0.0,0.5909520387649536
PU-G,mnist,1,0.4,0.0,1000,0,300,369,669,0.7203021419118159,0.44930000000000003,0.8850188166745716,0.36989999999999995,0.5320163295718222,378.6312418983824,4.445685761980712,0,297,0.38,0.0,0.5747107863426208
GREATS,mnist,1,0.4,0.0,1000,0,300,249,549,,0.42090000000000005,0.8358106719249919,0.24525999999999995,0.3996595900866166,475.9634544014613,2.992063393816352,0,297,0.42,0.0,0.6005816459655762
MaxLoss,mnist,1,0.4,0.2,800,200,300,116,416,0.5803870731615461,0.4135,0.789652088629423,0.1503875,0.2888446939771693,453.2410186786328,1.855054309591651,0,297,0.45,0.0,0.5849400758743286
PU-C,mnist,1,0.4,0.2,800,200,300,196,496,0.6785547694889829,0.3627,0.8229461638532616,0.245625,0.4000663035652813,347.4811359660553,2.5350475860759616,0,297,0.4066666666666667,0.0,0.5740876793861389
PU-F,mnist,1,0.4,0.2,800,200,300,180,480,0.6591295620892197,0.3993,0.8264054122303786,0.22526250000000003,0.37717490770625267,392.4831713663148,3.9800160927698016,0,297,0.4066666666666667,0.0,0.6109243035316467
PU-G,mnist,1,0.4,0.2,800,200,300,212,512,0.6978700155741535,0.41290000000000004,0.8330056560933986,0.26698750000000004,0.4236526897513719,334.6183289833319,3.8574861604720354,0,297,0.36,0.0,0.5878901481628418
GREATS,mnist,1,0.4,0.2,800,200,300,168,468,,0.4535,0.8339147539156205,0.20355,0.35228376693766006,454.9717471802663,2.817101312801242,0,297,0.45,0.0,0.6164661049842834
MaxLoss,mnist,1,0.4,0.4,600,400,300,79,379,0.6978138884296641,0.45409999999999995,0.8219931083818621,0.13516666666666668,0.26988920499506663,430.68294759717764,1.7831796752288938,0,297,0.43666666666666665,0.0,0.5769136548042297
PU-C,mnist,1,0.4,0.4,600,400,300,106,406,0.7406255217501894,0.33940000000000003,0.8154188367738794,0.17646666666666672,0.3204517054412105,344.5896418900834,2.374289737083018,0,297,0.4066666666666667,0.0,0.5806373953819275
PU-F,mnist,1,0.4,0.4,600,400,300,87,387,0.7105692781042308,0.3519,0.8110490393406933,0.14504999999999996,0.282243811843839,388.76999747254337,3.3510512756183743,0,297,0.4033333333333333,0.0,0.5976674556732178
PU-G,mnist,1,0.4,0.4,600,400,300,139,439,0.7919622527551837,0.3627,0.8649940537094123,0.2318666666666666,0.3846451636184542,365.7775565559999,3.467152213677764,0,297,0.38,0.0,0.5935849547386169
GREATS,mnist,1,0.4,0.4,600,400,300,69,369,,0.42569999999999997,0.8182963217195861,0.11715,0.24688045605188308,457.74321246242755,2.6273406418040395,0,297,0.43333333333333335,0.0,0.6082870960235596
MaxLoss,mnist,1,0.4,0.6,400,600,263,0,263,0.7351588506717235,0.36929999999999996,0.7339365280135823,0.0008499999999999975,0.055820129852211575,413.7876337390206,1.4959224881604314,1,260,0.4448669201520912,0.0,0.585229218006134
PU-C,mnist,1,0.4,0.6,400,600,300,12,312,0.8464814437320456,0.35,0.7639622500079999,0.03175,0.12316701468305341,363.32378468210965,2.2044424461200833,0,297,0.43666666666666665,0.0,0.5866712927818298
PU-F,mnist,1,0.4,0.6,400,600,283,0,283,0.7814742979244329,0.35040000000000004,0.722673298384463,0.0002499999999999947,0.0531234156866019,402.58602542087846,2.551880235783756,1,280,0.4098939929328622,0.0,0.6026139855384827
PU-G,mnist,1,0.4,0.6,400,600,300,27,327,0.8788655602256767,0.35540000000000005,0.810843250639918,0.068575,0.18064272794829822,364.9136326989732,2.8530635312199593,0,297,0.38666666666666666,0.0,0.5896430611610413
GREATS,mnist,1,0.4,0.6,400,600,264,0,264,,0.356,0.7444817565086749,0.0004499999999999904,0.054095117094987655,431.44332116913307,2.11867009755224,1,261,0.42424242424242425,0.0,0.5803837180137634
MaxLoss,mnist,1,0.4,0.8,200,800,113,0,113,0.676301776082255,0.354,0.776717298019855,0.0008500000000000007,0.055820129852211575,236.18949143122575,0.6634895456954837,1,110,0.3805309734513274,0.0,0.583978533744812
PU-C,mnist,1,0.4,0.8,200,800,131,0,131,0.7598944169585593,0.42669999999999997,0.7720763774355878,0.0037500000000000033,0.06546294948607219,224.73198398264282,0.9311040416359901,1,128,0.3969465648854962,0.0,0.5897561311721802
PU-F,mnist,1,0.4,0.8,200,800,127,0,127,0.7416817511548288,0.39259999999999995,0.8029745499181749,0.0005500000000000005,0.05454801818440308,260.52290422438847,1.0266617992892861,1,124,0.3464566929133858,0.0,0.6095989942550659
PU-G,mnist,1,0.4,0.8,200,800,159,0,159,0.8803433897555806,0.396,0.7683485725474978,0.010000000000000009,0.08123810557761997,209.97195413735446,1.2754685953259468,1,156,0.34591194968553457,0.0,0.5961966514587402
GREATS,mnist,1,0.4,0.8,200,800,124,0,124,,0.36719999999999997,0.8148006476266968,0.004200000000000004,0.06674898239701894,261.76247028383995,0.9580856757238507,1,121,0.3548387096774194,0.0,0.5956310033798218
MaxLoss,mnist,2,0.0,0.0,1000,0,172,0,172,0.21316163567826152,0.07279999999999998,0.38499160759862716,0.00038000000000000035,0.05376653814222626,294.3452783011866,1.0996073298156261,1,169,0.0,0.0,0.5890195965766907
PU-C,mnist,2,0.0,0.0,1000,0,226,0,226,0.27157832658849657,0.0806,0.40193953964019963,0.001240000000000001,0.05734003203917076,309.76544550285183,1.7973213009536266,1,223,0.0,0.0,0.5797474384307861
PU-F,mnist,2,0.0,0.0,1000,0,182,0,182,0.2240735339000821,0.08450000000000002,0.4017596881971076,0.002220000000000002,0.06076248357195808,301.39480410607746,1.9427055567502975,1,179,0.0,0.0,0.579093337059021
PU-G,mnist,2,0.0,0.0,1000,0,300,12,312,0.3624971266835928,0.09419999999999995,0.47641487537611743,0.011790000000000012,0.08522245098986277,356.2594338207093,3.1729997536167502,0,297,0.0,0.0,0.5834508538246155
GREATS,mnist,2,0.0,0.0,1000,0,230,0,230,,0.08460000000000001,0.4254935920615258,0.0,0.051604029648496474,359.02789452533796,1.9723152751103044,1,227,0.0,0.0,0.6034900546073914
MaxLoss,mnist,2,0.0,0.2,800,200,147,0,147,0.2308110172743909,0.10409999999999997,0.39649659139182025,0.0021624999999999926,0.0605730072246869,234.13860886021217,0.9558992693200707,1,144,0.0,0.0,0.5810994505882263
PU-C,mnist,2,0.0,0.2,800,200,200,0,200,0.30249427194939926,0.09050000000000002,0.395329802440333,0.0003999999999999959,0.053861507741408354,245.59557397134938,1.5899143498390913,1,197,0.0,0.0,0.582112193107605
PU-F,mnist,2,0.0,0.2,800,200,165,0,165,0.25536617590114474,0.09079999999999999,0.39741849218801584,0.000587499999999993,0.05471355164951269,246.32345174870647,1.6298375250771642,1,162,0.0,0.0,0.5805836319923401
PU-G,mnist,2,0.0,0.2,800,200,259,0,259,0.38040867127710953,0.09430000000000005,0.434990917355525,0.0017874999999999619,0.059306594335602654,281.706395993816,2.6230326145887375,1,256,0.0,0.0,0.5734453797340393
GREATS,mnist,2,0.0,0.2,800,200,200,0,200,,0.08589999999999998,0.42687054888398407,0.0,0.051604029648496474,287.52126688665976,1.7149468502029777,1,197,0.0,0.0,0.6030674576759338
MaxLoss,mnist,2,0.0,0.4,600,400,123,0,123,0.2613484975299798,0.09630000000000005,0.44010580059344856,0.0013000000000000067,0.0575638344553236,216.94832497010438,0.796618071384728,1,120,0.0,0.0,0.5825820565223694
PU-C,mnist,2,0.0,0.4,600,400,154,0,154,0.31742961710551754,0.10560000000000003,0.4372114315132066,0.00045000000000000487,0.054095117094987655,219.6211762453124,1.1910470249131322,1,151,0.0,0.0,0.5784518718719482
PU-F,mnist,2,0.0,0.4,600,400,142,0,142,0.29586143541382626,0.10070000000000001,0.44353541660771556,3.33333333333341e-05,0.05186964375175258,229.11590244139455,1.3517345050349832,1,139,0.0,0.0,0.5744290947914124
PU-G,mnist,2,0.0,0.4,600,400,220,0,220,0.43340759817510843,0.10229999999999995,0.47587653560563087,0.0022000000000000253,0.06069671029000496,246.56147446593923,2.038446116261184,1,217,0.0,0.0,0.5885525941848755
GREATS,mnist,2,0.0,0.4,600,400,137,0,137,,0.11270000000000002,0.4532354866800982,0.0010500000000000032,0.05661487203388166,230.84113556794566,1.1668070815503597,1,134,0.0,0.0,0.598334789276123
MaxLoss,mnist,2,0.0,0.6,400,600,94,0,94,0.3068641276913695,0.125,0.5150814459608813,0.003424999999999967,0.06451070260915055,185.23027728673964,0.574835654348135,1,91,0.0,0.0,0.5703192949295044
PU-C,mnist,2,0.0,0.6,400,600,122,0,122,0.38248387264320627,0.11650000000000005,0.517710914843532,0.0025749999999999853,0.0619081444770852,190.01393796023,0.8905116831883788,1,119,0.0,0.0,0.5839664340019226
PU-F,mnist,2,0.0,0.6,400,600,112,0,112,0.35573573008878157,0.12419999999999998,0.5143840801526711,0.0003249999999999964,0.05350033923584891,197.18376620644509,0.9531082296743989,1,109,0.0,0.0,0.5794077515602112
PU-G,mnist,2,0.0,0.6,400,600,157,0,157,0.4741269056685269,0.11629999999999996,0.5413450663074811,7.49999999999995e-05,0.052144304725543156,219.37171168752602,1.3408665163442492,1,154,0.0,0.0,0.5829911231994629
