method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
MaxLoss,0.4,0.2,10,394.4,13.624487757955036,0.0,0.0,394.4,13.624487757955036,0.19077180916210637,0.006063842354201831,0.02076000000000001,0.001580731195083819,0.6545294541167095,0.03132731012065338,1.0,0.0,391.4,13.624487757955036
MaxLoss,0.4,0.3,10,354.6,13.093000674660741,0.0,0.0,354.6,13.093000674660741,0.19735418022610246,0.006656797094352267,0.022170000000000002,0.0020980970213770153,0.5983344377018511,0.027290628053908812,1.0,0.0,351.6,13.093000674660741
MaxLoss,0.4,0.4,10,308.0,10.842303978193728,0.0,0.0,308.0,10.842303978193728,0.20196998506435193,0.00645257439026305,0.023409999999999986,0.0026631831413638164,0.5263798041036353,0.026517042393166428,1.0,0.0,305.0,10.842303978193728
MaxLoss,0.4,0.5,10,259.8,9.360436836909791,0.0,0.0,259.8,9.360436836909791,0.20704971559462138,0.006730500360044242,0.023950000000000006,0.003312409327899496,0.4507173582969699,0.018747265853275644,1.0,0.0,256.8,9.360436836909791
MaxLoss,0.4,0.6,10,211.0,6.458413977991121,0.0,0.0,211.0,6.458413977991121,0.21378221123013647,0.005840844750201297,0.023970000000000012,0.0018610062988728532,0.4012288289843127,0.018305813555742047,1.0,0.0,208.0,6.458413977991121
MaxLoss,0.4,0.7,10,147.3,7.523370993850503,0.0,0.0,147.3,7.523370993850503,0.20598930105334148,0.009221322108688295,0.027139999999999987,0.002234885033085846,0.31366444170707836,0.008677688605152426,1.0,0.0,144.3,7.523370993850503
MaxLoss,0.4,0.8,10,99.2,6.494099886307057,0.0,0.0,99.2,6.494099886307057,0.2170469937089365,0.012129269437502206,0.05075999999999999,0.004550828984310933,0.2788813999097329,0.006019664071570384,1.0,0.0,96.2,6.494099886307057
PU-C,0.0,0.0,10,108.3,1.4533486237727757,0.0,0.0,108.3,1.4533486237727757,0.048014304105890915,0.00055946344200608,0.016959999999999996,0.0006083127850410858,0.20498218340799212,0.01918425096531978,1.0,0.0,105.3,1.4533486237727757
PU-C,0.0,0.1,10,52.2,3.869539162915053,0.0,0.0,52.2,3.869539162915053,0.02867243319633417,0.0017689250557884396,0.009060000000000002,0.0007185169912163984,0.10613003330072387,0.004759268140293754,1.0,0.0,49.2,3.869539162915053
PU-C,0.0,0.2,10,39.5,3.992353803070175,0.0,0.0,39.5,3.992353803070175,0.025659991905558854,0.002080535888711129,0.0066500000000000005,0.0010251558147152328,0.10170955840148962,0.00497507972606134,1.0,0.0,36.5,3.992353803070175
PU-C,0.0,0.3,10,37.4,4.367048329376618,0.0,0.0,37.4,4.367048329376618,0.02801837051520124,0.0026103456387315768,0.006589999999999996,0.00046366894320074096,0.12910104590118862,0.005483560397556392,1.0,0.0,34.4,4.367048329376618
PU-C,0.0,0.4,10,29.2,1.8961950204437188,0.0,0.0,29.2,1.8961950204437188,0.02695864698616788,0.0013832375713179234,0.006630000000000025,0.0005412023651093909,0.14169715020107104,0.0028001774339087384,1.0,0.0,26.2,1.8961950204437188
PU-C,0.0,0.5,10,19.9,1.991370270832513,0.0,0.0,19.9,1.991370270832513,0.0241093531367369,0.0017862537398017672,0.005059999999999986,0.0005907057925340983,0.15196410409989766,0.003126946047540706,1.0,0.0,16.9,1.991370270832513
PU-C,0.0,0.6,10,15.5,1.9278658321228337,0.0,0.0,15.5,1.9278658321228337,0.025033682672074065,0.0022383838843363824,0.005220000000000002,0.0005577335086460793,0.17371790820034222,0.0020506159270293235,1.0,0.0,12.5,1.9278658321228337
PU-C,0.0,0.7,10,12.8,1.2454361128179603,0.0,0.0,12.8,1.2454361128179603,0.029213513724971562,0.0019419079195875499,0.004860000000000008,0.000815570693168628,0.1929331376159098,0.0015456746930164055,1.0,0.0,9.8,1.2454361128179603
PU-C,0.0,0.8,10,8.2,1.0519822558706333,0.0,0.0,8.2,1.0519822558706333,0.03242567301495001,0.002595372952157631,0.0037000000000000145,0.0006782329983125234,0.20759969169157558,0.001235820753833801,1.0,0.0,5.2,1.0519822558706333
