method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
PU-C,1,0.0,0.3,2100,900,52,0,52,0.036773915810044855,0.006099999999999994,0.15054479200625792,1,49
PU-F,1,0.0,0.3,2100,900,48,0,48,0.03443813865305856,0.010099999999999998,0.14685162500245497,1,45
PU-G,1,0.0,0.3,2100,900,52,0,52,0.036773915810044855,0.008700000000000041,0.15162720798980445,1,49
GREATS,1,0.0,0.3,2100,900,62,0,62,,0.005600000000000049,0.1636154589941725,1,59
MaxLoss,1,0.0,0.4,1800,1200,38,0,38,0.033237001043744385,0.008600000000000052,0.13951224996708333,1,35
PU-C,1,0.0,0.4,1800,1200,32,0,32,0.029009448655415326,0.007800000000000029,0.14377041696570814,1,29
PU-F,1,0.0,0.4,1800,1200,39,0,39,0.033934641047380865,0.007900000000000018,0.15332566597498953,1,36
PU-G,1,0.0,0.4,1800,1200,38,0,38,0.033237001043744385,0.0049000000000000155,0.1564410420251079,1,35
GREATS,1,0.0,0.4,1800,1200,41,0,41,,0.0041999999999999815,0.15678324998589233,1,38
MaxLoss,1,0.0,0.5,1500,1500,25,0,25,0.028731088212225586,0.005800000000000027,0.14811924996320158,1,22
PU-C,1,0.0,0.5,1500,1500,31,0,31,0.03391920035937801,0.006800000000000028,0.15917391702532768,1,28
PU-F,1,0.0,0.5,1500,1500,33,0,33,0.03562300780322403,0.007099999999999995,0.16601508297026157,1,30
PU-G,1,0.0,0.5,1500,1500,29,0,29,0.03220343025168404,0.006399999999999961,0.16777950001414865,1,26
GREATS,1,0.0,0.5,1500,1500,34,0,34,,0.00649999999999995,0.1686277079861611,1,31
MaxLoss,1,0.0,0.6,1200,1800,25,0,25,0.03585972939617932,0.0050000000000000044,0.18077270803041756,1,22
PU-C,1,0.0,0.6,1200,1800,22,0,22,0.03255960560636595,0.007299999999999973,0.18150016601430252,1,19
