method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,100,100,5000,0,104,2234,2338,,0.41225,0.41225,,,,,2.3775336330290884,0,0,101,0.3269230769230769,0.5288461538461539,0.7400712966918945,0.7400712966918945,0.9999985694885254,0.050170330167974085,0.883495145631068,0.8932038834951457,0.8543689320388349,0.25,0.75,0.028846153846153848,0.9853277433671545,0.009615384615384616,0.2416088685603972,1.4117475840154439
GREATS,volume_gap_fashion_mnist,0,0.1,0.0,warm_start,200,200,5000,0,204,1649,1853,,0.32575,0.32575,,,,,5.511707928031683,0,1,201,0.3235294117647059,0.553921568627451,0.716791033744812,0.716791033744812,0.9999988079071045,0.0317059235619794,0.9064039408866995,0.9359605911330049,0.896551724137931,0.31862745098039214,0.6813725490196079,0.0196078431372549,0.9764864655482597,0.004901960784313725,0.22058380387115784,1.4411826745803789
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1615,1669,0.5073952110251412,0.47950000000000004,0.4795,,,,,0.4812946389429271,0,0,51,0.4074074074074074,0.6111111111111112,0.7607864737510681,0.7607864737510681,0.9999998807907104,0.07795972194311754,0.7358490566037735,0.6981132075471698,0.6037735849056604,0.35185185185185186,0.6481481481481481,0.07407407407407407,0.9576609196148266,0.018518518518518517,0.2791756660812001,1.3591540674863196
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1207,1311,0.40396500867791474,0.35724999999999996,0.35725,,,,,1.0661318069323897,0,0,101,0.36538461538461536,0.5288461538461539,0.7294272780418396,0.7294272780418396,1.0000001192092896,0.04916986128658924,0.883495145631068,0.9029126213592233,0.8446601941747572,0.3076923076923077,0.6923076923076923,0.038461538461538464,0.9694838626935794,0.009615384615384616,0.2612678481068156,1.384225012650458
MaxLoss,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1493,1697,0.5154292760416865,0.39875000000000005,0.39875,,,,,2.8319145779823884,0,1,201,0.39215686274509803,0.6372549019607843,0.7071768641471863,0.7071768641471863,1.0000001192092896,0.03164160750769629,0.8866995073891626,0.9408866995073891,0.8817733990147784,0.46078431372549017,0.5392156862745098,0.04411764705882353,0.9367657587853676,0.004901960784313725,0.2416996206761555,1.4116205310533823
PU-R,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1636,1690,0.5134215030702762,0.4415,0.4415,,,,,0.8105547699378803,0,0,51,0.3888888888888889,0.5555555555555556,0.7495835423469543,0.7495835423469543,0.9999850988388062,0.07963640060064928,0.7547169811320755,0.7735849056603774,0.7169811320754716,0.2962962962962963,0.7037037037037037,0.07407407407407407,0.9712975385234824,0.018518518518518517,0.2828991200809188,1.3539412318867137
PU-R,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1888,1992,0.5995894636726007,0.41800000000000004,0.418,,,,,1.9575688280165195,0,0,101,0.36538461538461536,0.5096153846153846,0.7185394167900085,0.7185394167900085,0.9999779462814331,0.05262499121786321,0.883495145631068,0.883495145631068,0.8446601941747572,0.28846153846153844,0.7115384615384616,0.038461538461538464,0.9757003464084142,0.009615384615384616,0.2625524295499761,1.3824265986300333
PU-R,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,200,200,3500,1500,204,1889,2093,0.6281957846367732,0.43525,0.43525,,,,,5.499278452014551,0,1,201,0.39705882352941174,0.6666666666666666,0.7255465388298035,0.7255465388298035,1.000000238418579,0.03189938056645135,0.896551724137931,0.9211822660098522,0.8817733990147784,0.4803921568627451,0.5196078431372549,0.049019607843137254,0.9385871406279647,0.004901960784313725,0.2312984885691737,1.4261821160031567
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,50,50,3500,1500,54,1400,1454,0.44543927861377597,0.39375000000000004,0.39375,,,,,0.8188481059623882,0,0,51,0.3888888888888889,0.6111111111111112,0.7344523072242737,0.7344523072242737,0.9999885559082031,0.09437670179133145,0.6415094339622641,0.6226415094339622,0.5471698113207547,0.25925925925925924,0.7407407407407407,0.05555555555555555,0.9812965324491608,0.018518518518518517,0.307139794000907,1.32000428839873
PU-R-Vol,volume_gap_fashion_mnist,0,0.1,0.3,warm_start,100,100,3500,1500,104,1619,1723,0.5228823814541101,0.44375,0.44375,,,,,2.0417605409165844,0,0,101,0.375,0.5576923076923077,0.7184398770332336,0.7184398770332336,0.9999945759773254,0.058743473395560554,0.8058252427184466,0.8349514563106796,0.7572815533980582,0.28846153846153844,0.7115384615384616,0.038461538461538464,0.9787973612498843,0.009615384615384616,0.2734997159333305,1.3671003976933371
