method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,1,0.0,0.5,support,2500,2500,139,0,139,0.07159051555208862,0.04490000000000005,0.0449,,,,,2.046315219020471,1,136,0.0,0.0,0.7959098219871521,0.7959098219871521,0.9875043630599976,0.060790590051075684,0.8695652173913043,0.9347826086956522,0.8478260869565217,0.0,0.0,0.2204612851930798,1.38976935740346
Marginal,mnist,1,0.0,0.5,support,2500,2500,270,0,270,0.1296734175994061,0.039100000000000024,0.0391,,,,,5.53153127792757,1,267,0.0,0.0,0.6885889768600464,0.6885889768600464,0.9838696718215942,0.0332720853963029,0.9702602230483272,0.9851301115241635,0.9628252788104089,0.0,0.0,0.21174867317776205,1.394125663411119
PU-R,mnist,1,0.0,0.5,support,2500,2500,148,0,148,0.07566421414958313,0.04749999999999999,0.0475,,,,,2.9711565140169114,1,145,0.0,0.0,0.7908503413200378,0.7908503413200378,0.9715960621833801,0.06132282782979563,0.8571428571428571,0.9183673469387755,0.8367346938775511,0.0,0.0,0.22182828154558132,1.3890858592272093
GREATS,mnist,1,0.0,0.5,support,2500,2500,265,0,265,,0.041000000000000036,0.041,,,,,5.915268625947647,1,262,0.0,0.0,0.698979914188385,0.698979914188385,0.9734916687011719,0.034398559226908466,0.9772727272727273,0.9810606060606061,0.9696969696969697,0.0,0.0,0.2070463525462448,1.3964768237268776
MaxLoss,mnist,1,0.0,0.6,support,2000,3000,127,0,127,0.0825057434849441,0.046599999999999975,0.0466,,,,,1.9499549289466813,1,124,0.0,0.0,0.8183870911598206,0.8183870911598206,0.9843222498893738,0.06209551507518405,0.8492063492063492,0.9365079365079365,0.8333333333333334,0.0,0.0,0.21166339815718768,1.394168300921406
Marginal,mnist,1,0.0,0.6,support,2000,3000,210,0,210,0.12886177853215486,0.043300000000000005,0.0433,,,,,3.9789378880523145,1,207,0.0,0.0,0.7205408811569214,0.7205408811569214,0.9797815084457397,0.042675268457551895,0.9665071770334929,0.9808612440191388,0.9521531100478469,0.0,0.0,0.22024042957842765,1.3898797852107863
PU-R,mnist,1,0.0,0.6,support,2000,3000,121,0,121,0.07908797380514443,0.0474,0.0474,,,,,2.3499471690738574,1,118,0.0,0.0,0.8172474503517151,0.8172474503517151,0.9738144874572754,0.07179819022615751,0.7166666666666667,0.8583333333333333,0.6833333333333333,0.0,0.0,0.2211127881211702,1.3894436059394148
GREATS,mnist,1,0.0,0.6,support,2000,3000,215,0,215,,0.04090000000000005,0.0409,,,,,4.555669429944828,1,212,0.0,0.0,0.7353646159172058,0.7353646159172058,0.9783211946487427,0.04335400615340081,0.9485981308411215,0.9626168224299065,0.9299065420560748,0.0,0.0,0.21507397905547418,1.3924630104722628
MaxLoss,mnist,1,0.0,0.7,support,1500,3500,104,0,104,0.09217961441027,0.05010000000000003,0.0501,,,,,1.7003706970717758,1,101,0.0,0.0,0.8160662055015564,0.8160662055015564,0.9921795129776001,0.07100616901823618,0.7281553398058253,0.883495145631068,0.7087378640776699,0.0,0.0,0.21975912655359514,1.3901204367232025
Marginal,mnist,1,0.0,0.7,support,1500,3500,194,0,194,0.15939800802152604,0.04239999999999999,0.0424,,,,,3.878435931983404,1,191,0.0,0.0,0.7340697050094604,0.7340697050094604,0.9805230498313904,0.04321263464158063,0.9585492227979274,0.9637305699481865,0.9326424870466321,0.0,0.0,0.21681402194232652,1.3915929890288368
PU-R,mnist,1,0.0,0.7,support,1500,3500,109,0,109,0.09600076149217784,0.04849999999999999,0.0485,,,,,2.2087660540128127,1,106,0.0,0.0,0.8144626021385193,0.8144626021385193,0.9713826775550842,0.07586222141981125,0.6944444444444444,0.8518518518518519,0.6666666666666666,0.0,0.0,0.22555637122394007,1.38722181438803
GREATS,mnist,1,0.0,0.7,support,1500,3500,173,0,173,,0.04379999999999995,0.0438,,,,,3.631159233977087,1,170,0.0,0.0,0.7501689791679382,0.7501689791679382,0.9799802303314209,0.051097156263368075,0.936046511627907,0.9534883720930233,0.9186046511627907,0.0,0.0,0.2180064865126392,1.3909967567436805
MaxLoss,mnist,1,0.0,0.8,support,1000,4000,86,0,86,0.11682330607436597,0.05410000000000004,0.0541,,,,,1.4492371630622074,1,83,0.0,0.0,0.8169122934341431,0.8169122934341431,0.974930465221405,0.08070377216619604,0.7764705882352941,0.8352941176470589,0.7529411764705882,0.0,0.0,0.23231915784013085,1.3838404210799347
Marginal,mnist,1,0.0,0.8,support,1000,4000,133,0,133,0.17010763013968244,0.046599999999999975,0.0466,,,,,2.4963040499715135,1,130,0.0,0.0,0.7561025023460388,0.7561025023460388,0.9750310182571411,0.058220986389752594,0.8333333333333334,0.9242424242424242,0.8181818181818182,0.0,0.0,0.23073199958743573,1.3846340002062822
