method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,2,0.0,0.2,100,100,4000,1000,104,768,872,0.24125022237421945,0.19889999999999997,0.4799579299430274,0.17109000000000002,0.31401757212213555,218.83042418491203,1.8842875068075955,0,0,101,0.0,0.0,0.5717816352844238
MaxLoss,mnist,2,0.0,0.2,200,200,4000,1000,204,363,567,0.16123355901800096,0.12160000000000004,0.39054635743966054,0.08028249999999999,0.19731470126517808,337.18115333680805,3.395560605917126,0,0,201,0.0,0.0,0.5865246653556824
MaxLoss,mnist,2,0.0,0.2,500,380,4000,1000,384,0,384,0.11236560036195442,0.05510000000000004,0.23245042813788225,0.0010174999999999835,0.056488091679395565,451.15032527204625,5.873923659790307,1,0,381,0.0,0.0,0.5749664902687073
PU-R,mnist,2,0.0,0.2,50,50,4000,1000,54,972,1026,0.281179245270323,0.241,0.5122839605489611,0.2286375,0.38099815690926897,130.79476836058015,1.3534949340391904,0,0,51,0.0,0.0,0.5733931064605713
PU-R,mnist,2,0.0,0.2,100,100,4000,1000,104,599,703,0.19709091953700408,0.16349999999999998,0.4356876200254957,0.1451075,0.2823151808557095,192.010026371553,2.747537933057174,0,0,101,0.0,0.0,0.5779843926429749
PU-R,mnist,2,0.0,0.2,200,200,4000,1000,204,327,531,0.15168364421697333,0.09830000000000005,0.3683053522992516,0.08048499999999999,0.19759836112343318,267.3965109809469,5.814047718187794,0,0,201,0.0,0.0,0.5824078917503357
PU-R,mnist,2,0.0,0.2,500,500,4000,1000,504,21,525,0.15008931705961004,0.04930000000000001,0.25469096849147055,0.005469999999999992,0.07021046227259505,452.45412622168806,23.908108361065388,0,1,501,0.0,0.0,0.575139582157135
PU-C,mnist,2,0.0,0.2,50,50,4000,1000,54,1122,1176,0.31983030145056546,0.2824,0.5529270326539064,0.27210749999999995,0.4292442387280317,114.67345788552932,1.2681767218746245,0,0,51,0.0,0.0,0.5658936500549316
PU-C,mnist,2,0.0,0.2,100,100,4000,1000,104,654,758,0.21150605555158108,0.17610000000000003,0.450464718132647,0.1639775,0.3054427210004184,167.7939222700627,2.452105778036639,0,0,101,0.0,0.0,0.5841071605682373
PU-C,mnist,2,0.0,0.2,200,200,4000,1000,204,318,522,0.1492918569711037,0.0928,0.35942491857778325,0.08002249999999998,0.19695027619973032,244.02101813932373,4.353691112948582,0,0,201,0.0,0.0,0.5801133513450623
PU-C,mnist,2,0.0,0.2,500,500,4000,1000,504,29,533,0.15221491234842688,0.05149999999999999,0.2593681934924884,0.007739999999999982,0.0759407961825071,436.57240437537837,9.175414914963767,0,1,501,0.0,0.0,0.5668503642082214
Marginal,mnist,2,0.0,0.2,50,50,4000,1000,54,851,905,0.24982942384667695,0.21299999999999997,0.47639274197883685,0.21398499999999998,0.36431164817904793,94.13497233281494,1.0881971560884267,0,0,51,0.0,0.0,0.6007900834083557
Marginal,mnist,2,0.0,0.2,100,100,4000,1000,104,780,884,0.24437145818956196,0.2026,0.47770305603510066,0.1948175,0.34212052599130127,142.28827068474553,2.1220555710606277,0,0,101,0.0,0.0,0.6068764328956604
Marginal,mnist,2,0.0,0.2,200,200,4000,1000,204,622,826,0.22926881239982322,0.17000000000000004,0.4598945761187469,0.15533500000000003,0.2949210566776747,219.42828978111612,3.842273695161566,0,0,201,0.0,0.0,0.5876440405845642
