method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,5,0.3,0.0,3000,0,370,0,370,0.14438000600785017,0.016199999999999992,0.7510792909888551,1,367,0.3027027027027027,0.4,0.5059451460838318
PU-C,5,0.3,0.0,3000,0,380,0,380,0.14796155341900885,0.017100000000000004,2.5858867499628104,1,377,0.3131578947368421,0.4,0.3611271381378174
PU-F,5,0.3,0.0,3000,0,349,0,349,0.13684283918701112,0.017900000000000027,3.589877082966268,1,346,0.28653295128939826,0.39255014326647564,0.3578965365886688
PU-G,5,0.3,0.0,3000,0,396,0,396,0.15368237491929904,0.01090000000000002,3.5046651670127176,1,393,0.29292929292929293,0.41414141414141414,0.4549901783466339
GREATS,5,0.3,0.0,3000,0,442,0,442,,0.014100000000000001,2.863214374985546,1,439,0.26244343891402716,0.3914027149321267,0.5513933897018433
MaxLoss,5,0.4,0.0,3000,0,440,0,440,0.16935760364867747,0.016700000000000048,0.8779341250192374,1,437,0.31363636363636366,0.4431818181818182,0.45571717619895935
PU-C,5,0.4,0.0,3000,0,543,0,543,0.2057693019742146,0.01870000000000005,4.076355916971806,1,540,0.2946593001841621,0.4530386740331492,0.49400973320007324
PU-F,5,0.4,0.0,3000,0,469,0,469,0.1796470055123791,0.020100000000000007,5.389516166993417,1,466,0.3049040511727079,0.42430703624733473,0.15998893976211548
PU-G,5,0.4,0.0,3000,0,550,0,550,0.20823121524881572,0.025499999999999967,6.5312126250355504,1,547,0.2781818181818182,0.3981818181818182,0.3489803373813629
GREATS,5,0.4,0.0,3000,0,569,0,569,,0.025900000000000034,4.452533250034321,1,566,0.27768014059753954,0.40421792618629176,0.3194262683391571
MaxLoss,6,0.0,0.0,3000,0,92,0,92,0.041701713809743524,0.013000000000000012,0.27222745801554993,1,89,0.0,0.21739130434782608,0.8276789784431458
PU-C,6,0.0,0.0,3000,0,115,0,115,0.05059218790847808,0.01739999999999997,0.2147554580005817,1,112,0.0,0.21739130434782608,0.8623723387718201
PU-F,6,0.0,0.0,3000,0,134,0,134,0.0578422054531984,0.006700000000000039,0.3900717500364408,1,131,0.0,0.2462686567164179,0.7825992107391357
PU-G,6,0.0,0.0,3000,0,152,0,152,0.06464810745092109,0.0047000000000000375,0.4525287090218626,1,149,0.0,0.2631578947368421,0.6426711678504944
GREATS,6,0.0,0.0,3000,0,134,0,134,,0.0034999999999999476,0.4744889999856241,1,131,0.0,0.29850746268656714,0.6864508986473083
MaxLoss,6,0.1,0.0,3000,0,190,0,190,0.07885782525409013,0.011399999999999966,0.3242607910069637,1,187,0.21052631578947367,0.3157894736842105,0.5663975477218628
PU-C,6,0.1,0.0,3000,0,203,0,203,0.08367816428653896,0.013299999999999979,1.130460000014864,1,200,0.19704433497536947,0.3103448275862069,0.6071195006370544
PU-F,6,0.1,0.0,3000,0,265,0,265,0.10644450160907581,0.008600000000000052,1.5026080000097863,1,262,0.1471698113207547,0.32452830188679244,0.4728114604949951
PU-G,6,0.1,0.0,3000,0,272,0,272,0.10899512481410056,0.005700000000000038,0.9453042090171948,1,269,0.14705882352941177,0.35294117647058826,0.40826937556266785
GREATS,6,0.1,0.0,3000,0,244,0,244,,0.0016000000000000458,0.8003650839673355,1,241,0.16393442622950818,0.319672131147541,0.5507968068122864
MaxLoss,6,0.2,0.0,3000,0,312,0,312,0.12350614258321002,0.010800000000000032,0.6199788749800064,1,309,0.24358974358974358,0.33653846153846156,0.3139260709285736
PU-C,6,0.2,0.0,3000,0,324,0,324,0.12783998035592958,0.012199999999999989,1.9859597500180826,1,321,0.24691358024691357,0.3611111111111111,0.8220488429069519
PU-F,6,0.2,0.0,3000,0,317,0,317,0.12531293247593567,0.016599999999999948,3.5176730420207605,1,314,0.22397476340694006,0.305993690851735,0.40492525696754456
PU-G,6,0.2,0.0,3000,0,437,0,437,0.16829134989529848,0.021399999999999975,4.7071282920078374,1,434,0.16933638443935928,0.30663615560640733,0.4623740315437317
