method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,0,0.0,0.5,100,18,1500,1500,22,0,22,0.02608497691107914,0.0048000000000000265,0.15008991595823318,1,0,19,0.0,0.0,0.7255277037620544
PU-G,0,0.0,0.5,200,18,1500,1500,22,0,22,0.02608497691107914,0.0048000000000000265,0.15234712499659508,1,0,19,0.0,0.0,0.7255277037620544
MaxLoss,0,0.0,0.6,50,12,1200,1800,16,0,16,0.025781950331293046,0.005499999999999949,0.1651947500067763,1,0,13,0.0,0.0625,0.7091673016548157
MaxLoss,0,0.0,0.6,100,12,1200,1800,16,0,16,0.025781950331293046,0.005499999999999949,0.16788774996530265,1,0,13,0.0,0.0625,0.7091673016548157
MaxLoss,0,0.0,0.6,200,12,1200,1800,16,0,16,0.025781950331293046,0.005499999999999949,0.17093262501293793,1,0,13,0.0,0.0625,0.7091673016548157
PU-C,0,0.0,0.6,50,17,1200,1800,21,0,21,0.03144788567442447,0.006000000000000005,0.1711762499762699,1,0,18,0.0,0.047619047619047616,0.8011261224746704
PU-C,0,0.0,0.6,100,17,1200,1800,21,0,21,0.03144788567442447,0.006000000000000005,0.17362679197685793,1,0,18,0.0,0.047619047619047616,0.8011261224746704
PU-C,0,0.0,0.6,200,17,1200,1800,21,0,21,0.03144788567442447,0.006000000000000005,0.1757299589808099,1,0,18,0.0,0.047619047619047616,0.8011261224746704
PU-F,0,0.0,0.6,50,9,1200,1800,13,0,13,0.022273400623816997,0.005299999999999971,0.16464679199270904,1,0,10,0.0,0.07692307692307693,0.7434936761856079
PU-F,0,0.0,0.6,100,9,1200,1800,13,0,13,0.022273400623816997,0.005299999999999971,0.16661175002809614,1,0,10,0.0,0.07692307692307693,0.7434936761856079
PU-F,0,0.0,0.6,200,9,1200,1800,13,0,13,0.022273400623816997,0.005299999999999971,0.1686737920390442,1,0,10,0.0,0.07692307692307693,0.7434936761856079
PU-G,0,0.0,0.6,50,6,1200,1800,10,0,10,0.018649740784894675,0.0023999999999999577,0.16184441704535857,1,0,7,0.0,0.1,0.6610970497131348
PU-G,0,0.0,0.6,100,6,1200,1800,10,0,10,0.018649740784894675,0.0023999999999999577,0.16406591702252626,1,0,7,0.0,0.1,0.6610970497131348
PU-G,0,0.0,0.6,200,6,1200,1800,10,0,10,0.018649740784894675,0.0023999999999999577,0.16623304202221334,1,0,7,0.0,0.1,0.6610970497131348
MaxLoss,0,0.0,0.7,50,5,900,2100,9,0,9,0.023171695414930582,0.0039000000000000146,0.1904122920241207,1,0,6,0.0,0.1111111111111111,0.6730473041534424
