method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,1,0.4,0.7,900,2100,176,0,176,0.2410525784944184,0.052100000000000035,0.6033824170008302,1,173,0.2897727272727273,0.4431818181818182,0.5777368545532227
MaxLoss,1,0.4,0.8,600,2400,88,0,88,0.19636580476071686,0.05559999999999998,0.3940897909924388,1,85,0.3068181818181818,0.3977272727272727,0.7007847428321838
PU-C,1,0.4,0.8,600,2400,101,0,101,0.22074463200988248,0.06810000000000005,0.3037542920210399,1,98,0.27722772277227725,0.3564356435643564,0.7425381541252136
PU-F,1,0.4,0.8,600,2400,87,0,87,0.19447691208915785,0.045599999999999974,0.33239162497920915,1,84,0.27586206896551724,0.39080459770114945,0.6820824146270752
PU-G,1,0.4,0.8,600,2400,105,0,105,0.2281844211393036,0.027800000000000047,0.3352281669504009,1,102,0.2761904761904762,0.42857142857142855,0.6217113137245178
MaxLoss,2,0.0,0.0,3000,0,120,0,120,0.05250743729993701,0.01529999999999998,0.15415900002699345,1,117,0.0,0.08333333333333333,0.8049110770225525
PU-C,2,0.0,0.0,3000,0,116,0,116,0.050975687336176634,0.01629999999999998,0.19936712499475107,1,113,0.0,0.10344827586206896,0.8112581968307495
PU-F,2,0.0,0.0,3000,0,123,0,123,0.053653962444514036,0.0131,0.321766207984183,1,120,0.0,0.08130081300813008,0.826909065246582
PU-G,2,0.0,0.0,3000,0,108,0,108,0.04790108359884471,0.00770000000000004,0.31843220797600225,1,105,0.0,0.1111111111111111,0.7427894473075867
MaxLoss,2,0.0,0.1,2700,300,45,0,45,0.025444759579841048,0.008399999999999963,0.0883114580065012,1,42,0.0,0.1111111111111111,0.8977680206298828
PU-C,2,0.0,0.1,2700,300,41,0,41,0.023598499014042318,0.006000000000000005,0.09432087501045316,1,38,0.0,0.0975609756097561,0.8955196738243103
PU-F,2,0.0,0.1,2700,300,56,0,56,0.030447359604295343,0.008199999999999985,0.12024358299095184,1,53,0.0,0.08928571428571429,0.8945595622062683
PU-G,2,0.0,0.1,2700,300,77,0,77,0.03977406141348183,0.008199999999999985,0.14595562499016523,1,74,0.0,0.07792207792207792,0.8901429176330566
MaxLoss,2,0.0,0.2,2400,600,32,0,32,0.021787392208352685,0.005700000000000038,0.08424487500451505,1,29,0.0,0.125,0.901315450668335
PU-C,2,0.0,0.2,2400,600,50,0,50,0.031179819023236632,0.010099999999999998,0.11377783300122246,1,47,0.0,0.06,0.8778092861175537
PU-F,2,0.0,0.2,2400,600,42,0,42,0.02705520042218268,0.005199999999999982,0.11014845798490569,1,39,0.0,0.047619047619047616,0.8801037669181824
PU-G,2,0.0,0.2,2400,600,19,0,19,0.014651537698227912,0.0032999999999999696,0.0852386659826152,1,16,0.0,0.10526315789473684,0.8168047666549683
MaxLoss,2,0.0,0.3,2100,900,28,0,28,0.022426654177252203,0.0048000000000000265,0.10799558402504772,1,25,0.0,0.03571428571428571,0.8579896688461304
PU-C,2,0.0,0.3,2100,900,46,0,46,0.03326353122247383,0.006399999999999961,0.13663250004174188,1,43,0.0,0.08695652173913043,0.8856779932975769
PU-F,2,0.0,0.3,2100,900,44,0,44,0.03208407701458782,0.005499999999999949,0.139472792041488,1,41,0.0,0.11363636363636363,0.8736976385116577
PU-G,2,0.0,0.3,2100,900,36,0,36,0.027310927340295166,0.005600000000000049,0.13110783300362527,1,33,0.0,0.05555555555555555,0.84100341796875
MaxLoss,2,0.0,0.4,1800,1200,18,0,18,0.01875582296634093,0.0036000000000000476,0.12123475002590567,1,15,0.0,0.16666666666666666,0.8403502106666565
