method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,mnist,1,0.3,0.1,support,4500,500,800,1233,2033,0.4788079404970631,0.3762,0.3762,,,,,47.330922315013595,0,797,0.49375,0.0,0.5825243592262268,0.5825243592262268,0.9894282221794128,0.009030037868455593,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16743039815677654,1.4162848009216118
Marginal,mnist,1,0.3,0.1,support,4500,500,800,1394,2194,0.5147726442082785,0.22340000000000004,0.2234,,,,,49.54044526000507,0,797,0.29375,0.0,0.5716329216957092,0.5716329216957092,0.9975030422210693,0.0077148168388572295,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1642746309115521,1.417862684544224
PU-R,mnist,1,0.3,0.1,support,4500,500,800,1351,2151,0.5051809868891723,0.3184,0.3184,,,,,101.81444167799782,0,797,0.38875,0.0,0.5698039531707764,0.5698039531707764,0.9898011684417725,0.009305151813524835,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16891052686729038,1.4155447365663547
GREATS,mnist,1,0.3,0.1,support,4500,500,800,1414,2214,,0.30179999999999996,0.3018,,,,,59.192515954957344,0,797,0.36625,0.0,0.5736789107322693,0.5736789107322693,0.9945271015167236,0.00919855078530774,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.17117757075411197,1.414411214622944
MaxLoss,mnist,1,0.3,0.2,support,4000,1000,800,968,1768,0.4704726677155122,0.35040000000000004,0.3504,,,,,47.1178498090012,0,797,0.54625,0.0,0.5885521769523621,0.5885521769523621,0.9881525039672852,0.0096470433752401,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.17046076661314097,1.4147696166934294
Marginal,mnist,1,0.3,0.2,support,4000,1000,800,1178,1978,0.5232661664485931,0.21540000000000004,0.2154,,,,,49.26893709599972,0,797,0.295,0.0,0.5740089416503906,0.5740089416503906,0.9956181049346924,0.0076757067737539065,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1632142128020148,1.4183928935989925
PU-R,mnist,1,0.3,0.2,support,4000,1000,800,1131,1931,0.511478393629659,0.35660000000000003,0.3566,,,,,100.42101815296337,0,797,0.45,0.0,0.5818606615066528,0.5818606615066528,0.9874763488769531,0.009746313167360608,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.17084038307780508,1.4145798084610974
GREATS,mnist,1,0.3,0.2,support,4000,1000,800,1178,1978,,0.26990000000000003,0.2699,,,,,57.75215921201743,0,797,0.35625,0.0,0.5752955079078674,0.5752955079078674,0.9873678684234619,0.00984606015797849,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.173143201993301,1.4134283990033496
MaxLoss,mnist,1,0.3,0.3,support,3500,1500,800,740,1540,0.47027843311661854,0.3498,0.3498,,,,,47.93399734806735,0,797,0.5725,0.0,0.5859073400497437,0.5859073400497437,0.9899314641952515,0.009801251088759776,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.17145477416063634,1.4142726129196819
Marginal,mnist,1,0.3,0.3,support,3500,1500,800,1006,1806,0.5466292153578252,0.21999999999999997,0.22,,,,,49.76647243089974,0,797,0.31,0.0,0.5787288546562195,0.5787288546562195,0.9930611848831177,0.008500337668313401,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16452272472120621,1.4177386376393968
PU-R,mnist,1,0.3,0.3,support,3500,1500,800,861,1661,0.505098307330627,0.29810000000000003,0.2981,,,,,98.67016789200716,0,797,0.4425,0.0,0.5890511870384216,0.5890511870384216,0.9881892204284668,0.009708233410783942,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16794815095663518,1.4160259245216824
GREATS,mnist,1,0.3,0.3,support,3500,1500,800,976,1776,,0.24929999999999997,0.2493,,,,,57.24458152195439,0,797,0.33125,0.0,0.5743333697319031,0.5743333697319031,0.9877829551696777,0.009851883432463054,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.1727495163548723,1.4136252418225639
MaxLoss,mnist,1,0.3,0.4,support,3000,2000,800,535,1335,0.4775757368770428,0.3244,0.3244,,,,,48.986594144953415,0,797,0.58625,0.0,0.5882142782211304,0.5882142782211304,0.9842835664749146,0.009907979359652134,0.9987484355444305,0.9974968710888611,0.9974968710888611,0.0,0.0,0.17174020140082055,1.4141298992995897
Marginal,mnist,1,0.3,0.4,support,3000,2000,800,792,1592,0.563540335802827,0.21840000000000004,0.2184,,,,,50.46014092094265,0,797,0.31875,0.0,0.5726643800735474,0.5726643800735474,0.9934298992156982,0.008340472266898585,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16483104573221416,1.417584477133893
PU-R,mnist,1,0.3,0.4,support,3000,2000,800,584,1384,0.4940414168522693,0.2972,0.2972,,,,,97.56790003890637,0,797,0.515,0.0,0.583273708820343,0.583273708820343,0.98736172914505,0.009967461958042672,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.17106699563098038,1.4144665021845098
GREATS,mnist,1,0.3,0.4,support,3000,2000,800,773,1573,,0.24609999999999999,0.2461,,,,,56.833970935083926,0,797,0.3675,0.0,0.5752900838851929,0.5752900838851929,0.9873440265655518,0.009767773532039382,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.17042072460643223,1.414789637696784
MaxLoss,mnist,1,0.3,0.5,support,2500,2500,800,283,1083,0.46852913085604087,0.3257,0.3257,,,,,50.4593464700738,0,797,0.53875,0.0,0.6077845096588135,0.6077845096588135,0.9902998208999634,0.010182890425598218,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.17317513732262574,1.413412431338687
Marginal,mnist,1,0.3,0.5,support,2500,2500,800,532,1332,0.5685524457949214,0.24350000000000005,0.2435,,,,,51.62845056003425,0,797,0.30125,0.0,0.5801410675048828,0.5801410675048828,0.9919993877410889,0.008813813087461663,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1669807373946616,1.4165096313026693
PU-R,mnist,1,0.3,0.5,support,2500,2500,800,347,1147,0.4943756718421355,0.28879999999999995,0.2888,,,,,97.8174104449572,0,797,0.47125,0.0,0.5805026888847351,0.5805026888847351,0.990201473236084,0.010182064434557743,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1720245587086314,1.4139877206456843
GREATS,mnist,1,0.3,0.5,support,2500,2500,800,568,1368,,0.25049999999999994,0.2505,,,,,57.24307443702128,0,797,0.32625,0.0,0.572937548160553,0.572937548160553,0.991632878780365,0.009470953632878124,0.9974968710888611,0.9974968710888611,0.9962453066332916,0.0,0.0,0.16866278968945952,1.4156686051552703
MaxLoss,mnist,1,0.3,0.6,support,2000,3000,800,84,884,0.4812918498646468,0.29490000000000005,0.2949,,,,,51.239026748924516,0,797,0.52125,0.0,0.6024646759033203,0.6024646759033203,0.9931108951568604,0.010109514902545155,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1699133977553063,1.4150433011223469
Marginal,mnist,1,0.3,0.6,support,2000,3000,800,361,1161,0.6197590373922139,0.2499,0.2499,,,,,52.30819137394428,0,797,0.31625,0.0,0.574607789516449,0.574607789516449,0.994907021522522,0.009387028439714106,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.0,0.0,0.17091404531591298,1.4145429773420435
PU-R,mnist,1,0.3,0.6,support,2000,3000,800,166,966,0.5226055377861485,0.2972,0.2972,,,,,96.67968311195727,0,797,0.51,0.0,0.5968441367149353,0.5968441367149353,0.9902211427688599,0.01092488343858898,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.1745552959144017,1.4127223520427992
GREATS,mnist,1,0.3,0.6,support,2000,3000,800,353,1153,,0.24770000000000003,0.2477,,,,,56.88704964495264,0,797,0.3425,0.0,0.5857669115066528,0.5857669115066528,0.9885268211364746,0.01081675188487701,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.17450062511784437,1.4127496874410779
